partition,tool_id,name,source,domain,occurrences,schema_tokens,weighted_tokens
toolret_gold,tool_be_honest_tool_4,Finish,toolret:customized,tool_be_honest,350,33,11550
toolret_gold,rotbench_tool_3,finish,toolret:web,rotbench,170,49,8330
toolret_gold,toolink_tool_2,get_closing_parenthesis,toolret:code,toolink,70,46,3220
toolret_gold,toolink_tool_3,stack_insert,toolret:code,toolink,70,49,3430
toolret_gold,toolink_tool_4,stack_pop,toolret:code,toolink,70,44,3080
toolret_gold,ultraTool_tool_52,account_login,toolret:web,ultraTool,64,76,4864
toolret_gold,toolbench_sam_tool_122,API.select_booking_type,toolret:customized,toolbench_sam,63,67,4221
toolret_gold,toolink_tool_119,create_object_dict,toolret:code,toolink,62,53,3286
toolret_gold,toolink_tool_120,update_object_dict,toolret:code,toolink,62,53,3286
toolret_gold,toolink_tool_121,get_final_object,toolret:code,toolink,62,47,2914
toolret_gold,toolLens_tool_67,Search/Autocomplete API,toolret:web,toolLens,60,42,2520
toolret_gold,toolink_tool_31,update_location,toolret:code,toolink,55,57,3135
toolret_gold,toolbench_sam_tool_175,API.set_location,toolret:customized,toolbench_sam,53,57,3021
toolret_gold,toolink_tool_39,add_subtract_hadamard,toolret:code,toolink,46,61,2806
toolret_gold,toolLens_tool_17,Search Place,toolret:web,toolLens,45,46,2070
toolret_gold,toolbench_sam_tool_129,Agent.WalkTo,toolret:customized,toolbench_sam,42,492,20664
toolret_gold,ultraTool_tool_507,flight_search,toolret:web,ultraTool,40,190,7600
toolret_gold,toolink_tool_22,check_validity,toolret:code,toolink,38,51,1938
toolret_gold,toolink_tool_21,divide_remain,toolret:code,toolink,38,53,2014
toolret_gold,ultraTool_tool_2,file_write,toolret:web,ultraTool,37,83,3071
toolret_gold,ultraTool_tool_18,file_modify,toolret:web,ultraTool,37,149,5513
toolret_gold,ultraTool_tool_529,appliance_repair_request,toolret:web,ultraTool,36,150,5400
toolret_gold,ultraTool_tool_511,clock_alarm_cancel,toolret:web,ultraTool,35,100,3500
toolret_gold,toolbench_tool_9466,YTStream_Download_YouTube_Videos_Download_Stream,toolret:web,toolbench,34,42,1428
toolret_gold,apibank_tool_0,GetUserToken,toolret:web,apibank,33,121,3993
toolret_gold,toolink_tool_84,kronecker,toolret:code,toolink,33,52,1716
toolret_gold,ultraTool_tool_515,clock_alarm_set,toolret:web,ultraTool,33,93,3069
toolret_gold,toolink_tool_38,multiply,toolret:code,toolink,32,47,1504
toolret_gold,toolink_tool_103,update_orientation,toolret:code,toolink,30,67,2010
